listing_db_id,latitude,longitude,cluster
93,38.9023,-77.0175,819
94,38.9207,-77.0315,874
95,38.9236,-77.0431,854
96,38.907,-77.0324,855
97,38.9023,-77.0175,819
98,38.9163,-77.0492,827
99,38.9023,-77.0175,819
100,38.9299,-77.083,2564
101,38.8811,-77.0166,779
102,38.9272,-77.0339,852
103,38.9195,-77.0129,2711
104,38.9622,-77.0195,2632
105,38.9022,-77.0278,2757
106,38.9585,-77.014,2663
107,38.9292,-77.0259,2778
108,38.8905,-77.0014,746
109,38.8903,-77.0033,746
110,38.9108,-77.0361,837
111,38.9159,-77.0202,830
112,38.9335,-77.0818,732
113,38.9335,-77.0818,732
114,38.9317,-77.0377,835
115,38.9074,-77.0687,747
116,38.9004,-77.0183,812
117,38.9335,-77.0818,732
118,38.9327,-77.0721,740
119,38.9023,-77.0175,819
120,38.9335,-77.0818,732
121,38.9335,-77.0818,732
122,38.9103,-77.0361,2736
123,38.9479,-76.9946,2612
124,38.9004,-77.0183,812
125,38.8903,-77.0033,746
126,38.881,-76.9898,750
127,38.9023,-77.0175,819
128,38.9065,-77.0344,863
129,38.9028,-76.9783,823
130,38.9129,-77.0441,2709
131,38.9088,-77.0491,805
132,38.9004,-77.0183,812
133,38.9335,-77.0818,732
134,38.9229,-77.0332,2767
135,38.9335,-77.0818,732
136,38.8855,-76.9814,2594
137,38.9205,-77.0124,2711
138,38.9335,-77.0818,732
139,38.9221,-77.0817,739
140,38.881,-76.9898,750
141,38.953,-77.0156,783
142,38.9023,-77.0175,819
143,38.9071,-77.0149,2759
144,38.895,-77.0212,792
145,38.9015,-77.001,796
146,38.9015,-77.001,796
147,38.9023,-77.0175,819
148,38.9023,-77.0175,819
149,38.9023,-77.0175,819
150,38.9023,-77.0175,819
151,38.9335,-77.0818,732
152,38.9335,-77.0818,732
153,38.9099,-77.039,837
154,38.9335,-77.0818,732
155,38.9061,-76.9892,2679
156,38.9335,-77.0818,732
157,38.9133,-77.064,2535
158,38.903,-77.0494,2675
159,38.9138,-77.0154,2792
160,38.8906,-77.0014,746
161,38.9253,-76.9798,712
162,38.9144,-77.0153,2792
163,38.9499,-77.0663,755
164,38.9176,-77.0427,2707
165,38.8907,-77.0015,746
166,38.9212,-77.0446,853
167,38.9015,-77.001,796
168,38.9624,-77.0726,744
169,38.9023,-77.0175,819
170,38.9015,-77.001,796
171,38.8903,-77.0032,746
172,38.9156,-77.0199,830
173,38.9015,-77.001,796
174,38.9048,-77.0257,841
175,38.9499,-77.0663,755
176,38.9582,-77.0256,2664
177,38.9023,-77.0175,819
178,38.8775,-77.0163,788
179,38.9034,-77.0177,821
180,38.9335,-77.0818,732
181,38.9198,-77.0414,2723
182,38.907,-77.0324,855
183,38.9023,-77.0175,819
184,38.8775,-77.0163,788
185,38.9004,-77.0183,812
186,38.9023,-77.0175,819
187,38.9023,-77.0175,819
188,38.8969,-77.046,734
189,38.9358,-77.0819,731
190,38.9358,-77.0819,731
191,38.9267,-77.0386,838
192,38.9109,-77.0041,793
193,38.9437,-77.0612,770
194,38.9358,-77.0819,731
195,38.9008,-77.0169,814
196,38.8752,-77.0063,768
197,38.9327,-77.0721,740
198,38.9109,-77.0041,793
199,38.9052,-77.0063,804
